,cell_h,azimuth,downtilt,d,beta_cos,h_v,cell_clutter,clutter,h_build_s,h_build_r,alti_diff,power,frequency,logh*logd,rsrp
cell_h,1.0,-0.00815874578174716,0.33117540966804243,-0.013399390000110563,0.005808188688058964,0.021670365978154874,-0.03168453704070314,0.0029287187040547454,-0.013777800996301347,-0.007695624848854882,-0.006507966704269966,-0.0111143582305465,-0.02596780535509195,0.9624990457007075,-0.0019427098950789922
azimuth,-0.00815874578174716,1.0,0.008137903052319062,-0.01654275212962047,0.005789297909046343,-0.015374427256414903,-0.007932766864952373,0.006941223526600189,-0.012217258868099604,0.0012545942890106864,-0.011411214309762538,-0.01612024980708808,0.00035460018557593797,-0.011160793719099648,0.0025706303930958367
downtilt,0.33117540966804243,0.008137903052319062,1.0,-0.029535883276354626,0.004050178915767162,0.038882666699927466,-0.0012683207680275084,0.012822162550284998,0.09226263836863732,0.0008801899143238436,-0.0025476340615583743,-0.12178370205689774,0.04345646420510842,0.3112555792830003,-0.003009728632256191
d,-0.013399390000110563,-0.01654275212962047,-0.029535883276354626,1.0,-0.017364058713556056,0.9239445154528891,-0.0010206993498397337,-0.027163635089391618,-0.011890136134864723,-0.03253121106514668,0.05891397236254093,0.010106625043053645,-0.026868362568216255,0.14833373972905423,-0.3304616229865071
beta_cos,0.005808188688058964,0.005789297909046343,0.004050178915767162,-0.017364058713556056,1.0,-0.02906263665638068,0.00484216849631025,-0.001972241802935792,0.006372950137382465,0.0012485395157788165,-0.013149130155093,-0.00576445882053679,0.006516871681169624,0.0013441350038428301,-0.005134938871078947
h_v,0.021670365978154874,-0.015374427256414903,0.038882666699927466,0.9239445154528891,-0.02906263665638068,1.0,-0.0009618106925793204,-0.02398545126024817,-0.00535835423307725,-0.03411828756339168,0.05534775200151871,0.0022540044791139694,-0.026994873081778857,0.17076606004267048,-0.3184614405892205
cell_clutter,-0.03168453704070314,-0.007932766864952373,-0.0012683207680275084,-0.0010206993498397337,0.00484216849631025,-0.0009618106925793204,1.0,0.043881751800277514,0.03361055663249084,0.009289832149085032,-0.027652509230492218,0.00797306083352614,-0.011387783844233881,-0.03456863166161596,-0.01689030291223563
clutter,0.0029287187040547454,0.006941223526600189,0.012822162550284998,-0.027163635089391618,-0.001972241802935792,-0.02398545126024817,0.043881751800277514,1.0,0.018594402972712577,0.02884287125422413,-0.031202948887642846,-0.010751694672012433,-6.291038426799913e-05,-0.0018189851240116713,-0.028092100644789682
h_build_s,-0.013777800996301347,-0.012217258868099604,0.09226263836863732,-0.011890136134864723,0.006372950137382465,-0.00535835423307725,0.03361055663249084,0.018594402972712577,1.0,0.03215634315941388,0.00887618383596835,-0.08010767150698253,0.010614654092773996,-0.017739521404648653,9.48425538470203e-05
h_build_r,-0.007695624848854882,0.0012545942890106864,0.0008801899143238436,-0.03253121106514668,0.0012485395157788165,-0.03411828756339168,0.009289832149085032,0.02884287125422413,0.03215634315941388,1.0,-0.023478323343181947,-0.02651990366009324,0.01659326872686334,-0.011586369342704182,-0.044301265630048124
alti_diff,-0.006507966704269966,-0.011411214309762538,-0.0025476340615583743,0.05891397236254093,-0.013149130155093,0.05534775200151871,-0.027652509230492218,-0.031202948887642846,0.00887618383596835,-0.023478323343181947,1.0,0.026935450011078103,-0.0015204229662119956,0.0032979455985934084,0.001995982912207825
power,-0.0111143582305465,-0.01612024980708808,-0.12178370205689774,0.010106625043053645,-0.00576445882053679,0.0022540044791139694,0.00797306083352614,-0.010751694672012433,-0.08010767150698253,-0.02651990366009324,0.026935450011078103,1.0,-0.06985753129811523,-0.006427057894930342,-0.012247027853913888
frequency,-0.02596780535509195,0.00035460018557593797,0.04345646420510842,-0.026868362568216255,0.006516871681169624,-0.026994873081778857,-0.011387783844233881,-6.291038426799913e-05,0.010614654092773996,0.01659326872686334,-0.0015204229662119956,-0.06985753129811523,1.0,-0.027866293281605302,-0.00572329904900356
logh*logd,0.9624990457007075,-0.011160793719099648,0.3112555792830003,0.14833373972905423,0.0013441350038428301,0.17076606004267048,-0.03456863166161596,-0.0018189851240116713,-0.017739521404648653,-0.011586369342704182,0.0032979455985934084,-0.006427057894930342,-0.027866293281605302,1.0,-0.057068233001742734
rsrp,-0.0019427098950789922,0.0025706303930958367,-0.003009728632256191,-0.3304616229865071,-0.005134938871078947,-0.3184614405892205,-0.01689030291223563,-0.028092100644789682,9.48425538470203e-05,-0.044301265630048124,0.001995982912207825,-0.012247027853913888,-0.00572329904900356,-0.057068233001742734,1.0
