,cell_h,azimuth,downtilt,d,beta_cos,h_v,cell_clutter,clutter,h_build_s,h_build_r,alti_diff,power,frequency,logh*logd,rsrp
cell_h,1.0,0.026756013602490303,0.4707788534721923,0.008512760855704127,0.004616644684977304,0.047094587058280915,-0.012977588531782214,0.009190384268177372,0.1148271294870515,0.03489869422036974,0.0022999886378724205,-0.14545120256991645,-0.0015138432415355136,0.5884594834380059,0.003544411113801385
azimuth,0.026756013602490303,1.0,0.011758309108043727,-0.023316600966849968,0.00647069642239391,-0.0220335777149771,-0.00940749204751735,0.0028475804811730634,-0.0032052127535423637,0.005654790661824211,-0.021482441475144713,-0.016550176782153554,-9.903933605410243e-05,-0.004498075734492417,0.004360182514502769
downtilt,0.4707788534721923,0.011758309108043727,1.0,-0.03862386483604497,0.009129996478186467,0.04122583665804243,-0.01059491052714294,0.010932643639407576,0.09423020056795538,0.016358819758130746,-0.0013433240125007944,-0.11774658601876442,0.05974765101804338,0.28150247135164297,-0.0008842655686461244
d,0.008512760855704127,-0.023316600966849968,-0.03862386483604497,1.0,-0.022172677684451303,0.918307049213756,-0.011895408220716514,-0.020267965141586304,-0.019529670603984986,-0.07986576007408193,0.04668930251146424,0.028251762995339744,-0.02776595982375883,0.7316759174443664,-0.3914232284965918
beta_cos,0.004616644684977304,0.00647069642239391,0.009129996478186467,-0.022172677684451303,1.0,-0.030040473364787205,-0.0018781868312349342,-0.0007565859590478946,0.0053937946373856585,0.001764605811966912,0.0001311770186341988,-0.0030306215842934568,0.009222763873049622,-0.012184439868862619,-0.003600748580552092
h_v,0.047094587058280915,-0.0220335777149771,0.04122583665804243,0.918307049213756,-0.030040473364787205,1.0,-0.01082219080928375,-0.017929371857746422,-0.008885205061037555,-0.07106068664965973,0.04701028391770406,0.018581976848525892,-0.02610003598595404,0.7062805384783375,-0.35978234908849305
cell_clutter,-0.012977588531782214,-0.00940749204751735,-0.01059491052714294,-0.011895408220716514,-0.0018781868312349342,-0.01082219080928375,1.0,0.03819173798721035,0.03224358438657134,0.01767331648725463,-0.015562002959713675,0.023239233440000957,-0.00594748754957612,-0.020380598856285934,-0.00585188750874572
clutter,0.009190384268177372,0.0028475804811730634,0.010932643639407576,-0.020267965141586304,-0.0007565859590478946,-0.017929371857746422,0.03819173798721035,1.0,0.011759083085305556,0.04218193287384821,-0.01972928502667459,-0.00483299046291955,0.0002864765937421253,-0.010964177111159296,-0.007442855477217071
h_build_s,0.1148271294870515,-0.0032052127535423637,0.09423020056795538,-0.019529670603984986,0.0053937946373856585,-0.008885205061037555,0.03224358438657134,0.011759083085305556,1.0,0.043824845676437386,0.013548042535249005,-0.06275523061531338,0.027568186408393675,0.04629457823900222,-0.009112442958701946
h_build_r,0.03489869422036974,0.005654790661824211,0.016358819758130746,-0.07986576007408193,0.001764605811966912,-0.07106068664965973,0.01767331648725463,0.04218193287384821,0.043824845676437386,1.0,-0.02449513585328241,-0.02639335971968545,0.006216517111310693,-0.03921710476208806,-0.0764694581789217
alti_diff,0.0022999886378724205,-0.021482441475144713,-0.0013433240125007944,0.04668930251146424,0.0001311770186341988,0.04701028391770406,-0.015562002959713675,-0.01972928502667459,0.013548042535249005,-0.02449513585328241,1.0,0.008675765501982704,-0.000720510664546291,0.02913130146734116,0.004461459097942451
power,-0.14545120256991645,-0.016550176782153554,-0.11774658601876442,0.028251762995339744,-0.0030306215842934568,0.018581976848525892,0.023239233440000957,-0.00483299046291955,-0.06275523061531338,-0.02639335971968545,0.008675765501982704,1.0,-0.055794710339075806,-0.06731376250812673,-0.01829047952318838
frequency,-0.0015138432415355136,-9.903933605410243e-05,0.05974765101804338,-0.02776595982375883,0.009222763873049622,-0.02610003598595404,-0.00594748754957612,0.0002864765937421253,0.027568186408393675,0.006216517111310693,-0.000720510664546291,-0.055794710339075806,1.0,-0.025583153169992493,-0.0031959671760819174
logh*logd,0.5884594834380059,-0.004498075734492417,0.28150247135164297,0.7316759174443664,-0.012184439868862619,0.7062805384783375,-0.020380598856285934,-0.010964177111159296,0.04629457823900222,-0.03921710476208806,0.02913130146734116,-0.06731376250812673,-0.025583153169992493,1.0,-0.27672042924056267
rsrp,0.003544411113801385,0.004360182514502769,-0.0008842655686461244,-0.3914232284965918,-0.003600748580552092,-0.35978234908849305,-0.00585188750874572,-0.007442855477217071,-0.009112442958701946,-0.0764694581789217,0.004461459097942451,-0.01829047952318838,-0.0031959671760819174,-0.27672042924056267,1.0
